m, n, k, edeges, avg-degree, clustering_coeff, diameter, avg-pathlength
16,500,20,45730,91.46,0.5044984817504883,5.0,2.002444889779559
16,500,20,45052,90.104,0.49475082755088806,4.0,2.041795012871434
16,500,20,45235,90.47,0.5020872354507446,4.0,2.0519547158833795
32,500,20,47352,94.704,0.4742228090763092,4.0,2.0089331889585624
32,500,20,45421,90.842,0.4992188513278961,5.0,2.0587991398618737
32,500,20,45986,91.972,0.4766904413700104,4.0,2.026649648180743
64,500,20,30930,61.86,0.5297837853431702,4.0,2.160682085614114
64,500,20,31628,63.256,0.5317875146865845,4.0,2.1434176199481456
64,500,20,28844,57.688,0.5653610825538635,4.0,2.2008162666797007
16,1000,20,95885,95.885,0.4996093809604645,4.0,2.2954708740999066
16,1000,20,96363,96.363,0.48143690824508667,4.0,2.294079794079794
16,1000,20,96545,96.545,0.5086876749992371,5.0,2.306494245249265
32,1000,20,98673,98.673,0.446012943983078,5.0,2.286105561378226
32,1000,20,98444,98.444,0.46686476469039917,5.0,2.2889556222889555
32,1000,20,99757,99.757,0.46406126022338867,5.0,2.285399832822513
64,1000,20,67180,67.18,0.48506781458854675,4.0,2.3782276681564576
64,1000,20,67035,67.035,0.49242839217185974,5.0,2.380884155096197
64,1000,20,68473,68.473,0.49377620220184326,4.0,2.3681744624949492
16,2000,20,199030,99.515,0.47833243012428284,5.0,2.5065355059640844
16,2000,20,197503,98.7515,0.4869906008243561,5.0,2.5076896685539993
16,2000,20,198508,99.254,0.49473240971565247,6.0,2.5121856920238126
32,2000,20,207479,103.7395,0.432543009519577,5.0,2.5050144864098716
32,2000,20,208234,104.117,0.4255298376083374,5.0,2.4901662380946603
32,2000,20,204714,102.357,0.4336167871952057,5.0,2.516296567019909
64,2000,20,138430,69.215,0.46836429834365845,5.0,2.550544404855489
64,2000,20,136620,68.31,0.481126993894577,5.0,2.590195655920299
64,2000,20,138923,69.4615,0.48694726824760437,5.0,2.5824841891978734
16,3000,20,299187,99.729,0.4927701950073242,5.0,2.6049979370112912
16,3000,20,304469,101.48966666666666,0.45117634534835815,7.0,2.6488489752927293
16,3000,20,301530,100.51,0.4815354347229004,5.0,2.613201970894609
32,3000,20,312977,104.32566666666666,0.43063610792160034,5.0,2.64560064780763
32,3000,20,311935,103.97833333333334,0.4302443861961365,5.0,2.6112417626252356
32,3000,20,317215,105.73833333333333,0.4330146610736847,5.0,2.603217895399804
64,3000,20,213107,71.03566666666667,0.46700891852378845,5.0,2.685525970585796
64,3000,20,211013,70.33766666666666,0.4684145152568817,5.0,2.6848384066260054
64,3000,20,209362,69.78733333333334,0.4750717282295227,5.0,2.6811617653190396
160,250,20,18377,73.508,0.5521811246871948,4.0,1.8542557326078508
160,250,20,18794,75.176,0.5484651327133179,4.0,1.8738178520533748
160,250,20,18263,73.052,0.546552836894989,4.0,1.8371430992120648
160,500,20,38345,76.69,0.5347476601600647,5.0,2.19177851501322
160,500,20,38074,76.148,0.5311129093170166,5.0,2.2371533189836463
